"","cohesion","aggregation","p0","param","coverage","Model"
"201","0.67",4,"0.2","N",0.79,"SPIM: antlerssexcollarcoat"
"202","0.67",4,"0.2","sigma",0.79,"SPIM: antlerssexcollarcoat"
"203","0.67",10,"0.05","N",0.65,"SPIM: antlerssexcollarcoat"
"204","0.67",10,"0.05","sigma",0.88,"SPIM: antlerssexcollarcoat"
"205","0.67",10,"0.2","N",0.58,"SPIM: antlerssexcollarcoat"
"206","0.67",10,"0.2","sigma",0.62,"SPIM: antlerssexcollarcoat"
"207","1",4,"0.05","N",0.62,"SPIM: antlerssexcollarcoat"
"208","1",4,"0.05","sigma",0.82,"SPIM: antlerssexcollarcoat"
"209","1",4,"0.2","N",0.65,"SPIM: antlerssexcollarcoat"
"210","1",4,"0.2","sigma",0.72,"SPIM: antlerssexcollarcoat"
"211","1",10,"0.05","N",0.45,"SPIM: antlerssexcollarcoat"
"212","1",10,"0.05","sigma",0.64,"SPIM: antlerssexcollarcoat"
"213","1",10,"0.2","N",0.45,"SPIM: antlerssexcollarcoat"
"214","1",10,"0.2","sigma",0.44,"SPIM: antlerssexcollarcoat"
"215","0",NA,"0.05","N",0.9,"SC"
"216","0",NA,"0.05","sigma",0.91,"SC"
"217","0",NA,"0.2","N",0.95,"SC"
"218","0",NA,"0.2","sigma",0.95,"SC"
"219","0",NA,"0.05","N",0.62,"SC"
"220","0",NA,"0.05","sigma",0.93,"SC"
"221","0",NA,"0.2","N",0.27,"SC"
"222","0",NA,"0.2","sigma",0.96,"SC"
"223","0",NA,"0.05","N",0.08,"SC"
"224","0",NA,"0.05","sigma",0.96,"SC"
"225","0",NA,"0.2","N",0.02,"SC"
"226","0",NA,"0.2","sigma",0.87,"SC"
"227","0.3",NA,"0.05","N",0.56,"SC"
"228","0.3",NA,"0.05","sigma",0.92,"SC"
"229","0.3",NA,"0.2","N",0.56,"SC"
"230","0.3",NA,"0.2","sigma",0.92,"SC"
"231","0.3",NA,"0.05","N",0.06,"SC"
"232","0.3",NA,"0.05","sigma",0.77,"SC"
"233","0.3",NA,"0.2","N",0,"SC"
"234","0.3",NA,"0.2","sigma",0.72,"SC"
"235","0.67",NA,"0.05","N",0.11,"SC"
"236","0.67",NA,"0.05","sigma",0.27,"SC"
"237","0.67",NA,"0.2","N",0.47,"SC"
"238","0.67",NA,"0.2","sigma",0.3,"SC"
"239","0.67",NA,"0.05","N",0,"SC"
"240","0.67",NA,"0.05","sigma",0.08,"SC"
